*********ZAZNAM***********
Okamžitý odchod vozidla
Mikrobus AA 11:10:00; ; 
Mikrobus AA 11:11:00; ; 
Cena vozidiel: 1.1635E7
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
A;8,1757 <8,080 , 8,272>;7,9352 <7,776 , 8,094>
B;8,9009 <8,766 , 9,036>;0,6129 <0,551 , 0,675>
C;12,3443 <12,237 , 12,452>;0,6540 <0,537 , 0,770>
Linka;Zisk mikrobusov
A;42.34
B;32.01
C;24.34
Celkove priemerne cakanie cestujuceho;Celkove priemerne percento neskoro
9,5890 <9,525 , 9,653>;3,9863 <3,905 , 4,068>
Pocet celkovych cestujucich;Pocet cestujucich na stadione
4744,600;4744,600
*********END ZAZNAM***********
*********ZAZNAM***********
Okamžitý odchod vozidla
Vozidla na linke A  16;  Vozidla na linke B  8; Vozidla na linke C  12
Vacsi autobus K3 11:15:48;Mensi autobus K3 11:19:00;Vacsi autobus CC 11:07:30
Mensi autobus K3 11:34:54;Vacsi autobus K3 11:13:30;Vacsi autobus CA 11:29:18
Vacsi autobus AL 11:42:54;Mensi autobus BH 11:12:18;Vacsi autobus CF 11:29:18
Vacsi autobus AB 11:21:12;Vacsi autobus BA 11:13:30;Vacsi autobus CE 11:09:48
Vacsi autobus AL 11:10:12;Vacsi autobus BJ 11:12:18;Vacsi autobus CC 11:07:30
Vacsi autobus AA 11:44:06;Mikrobus BA 11:12:18;Vacsi autobus CC 11:06:54
Vacsi autobus AJ 11:15:48;Mikrobus BA 11:17:18;Vacsi autobus CA 11:13:54
Vacsi autobus AK 11:15:48;Mikrobus BA 11:22:18;Mikrobus CA 11:06:54
Mensi autobus AJ 11:27:30; ;Mikrobus CA 11:11:54
Vacsi autobus AD 11:29:18; ;Mikrobus CA 11:16:54
Vacsi autobus AA 11:29:18; ;Mikrobus CA 11:21:54
Mikrobus AA 11:07:00; ;Mikrobus CA 11:26:54
Mikrobus AA 11:12:00; ; 
Mikrobus AA 11:17:00; ; 
Mikrobus AA 11:22:00; ; 
Mikrobus AA 11:27:00; ; 
Cena vozidiel: 1.1635E7
Linka;Cakanie cestujuceho na linke IS;Percento neskorych prichodov na linke IS
A;7,8322 <7,755 , 7,909>;8,6380 <8,480 , 8,796>
B;8,9160 <8,792 , 9,041>;0,5903 <0,518 , 0,663>
C;11,8177 <11,715 , 11,920>;0,7344 <0,643 , 0,825>
Linka;Zisk mikrobusov
A;50.3
B;32.01
C;28.33
Celkove priemerne cakanie cestujuceho;Celkove priemerne percento neskoro
9,2818 <9,226 , 9,338>;4,3258 <4,246 , 4,405>
Pocet celkovych cestujucich;Pocet cestujucich na stadione
4748,380;4748,380
*********END ZAZNAM***********
